"R0000100","R0009600","R0173600","R0214700","R0214800"
1066,1,3,2,1
1067,1,3,2,1
1068,1,3,2,1
1069,3,6,3,2
1070,1,7,2,2
1071,1,7,2,2
1072,1,3,2,1
1073,1,7,2,2
1074,1,7,2,2
1075,6,5,3,2
1076,19,8,1,2
1077,5,6,3,2
1078,1,7,2,2
1079,1,7,2,2
1080,3,5,3,2
1081,12,1,3,1
1082,6,5,3,2
1083,5,5,3,2
1084,5,1,3,1
1085,6,1,3,1
1086,11,5,3,2
1087,11,5,3,2
1088,11,5,3,2
1089,6,1,3,1
1090,29,5,3,2
1091,6,1,3,1
1092,6,1,3,1
1093,5,5,3,2
1094,11,1,3,1
1095,3,1,3,1
1096,3,1,3,1
1097,6,1,3,1
1098,6,1,3,1
1099,6,1,3,1
1100,6,5,3,2
1101,15,8,1,2
1102,3,1,3,1
1103,6,5,3,2
1104,3,5,3,2
1105,6,5,3,2
1106,6,5,3,2
1107,29,1,3,1
1108,11,5,3,2
1109,11,1,3,1
1110,3,5,3,2
1111,3,5,3,2
1112,3,6,3,2
1113,15,4,1,1
1114,15,8,1,2
1115,15,4,1,1
1116,15,8,1,2
1117,15,8,1,2
1118,15,8,1,2
1119,15,4,1,1
1120,15,4,1,1
1121,15,8,1,2
1122,15,4,1,1
1123,15,8,1,2
1124,15,4,1,1
1125,15,4,1,1
1126,2,8,1,2
1127,20,4,1,1
1128,15,8,1,2
1129,3,5,3,2
1130,21,8,1,2
1131,19,8,1,2
1132,19,8,1,2
1133,5,5,3,2
1134,5,1,3,1
1135,5,5,3,2
1136,15,8,1,2
1137,25,1,3,1
1138,25,1,3,1
1139,3,5,3,2
1140,25,5,3,2
1141,5,5,3,2
1142,20,4,1,1
1143,20,1,3,1
1144,20,1,3,1
1145,24,1,3,1
1146,12,1,3,1
1147,11,5,3,2
1148,1,3,2,1
1149,1,3,2,1
1150,1,3,2,1
1151,1,3,2,1
1152,1,7,2,2
1153,1,3,2,1
1154,1,7,2,2
1155,1,7,2,2
1156,1,3,2,1
1157,1,7,2,2
1158,1,7,2,2
1159,1,7,2,2
1160,1,7,2,2
1161,1,7,2,2
1162,1,7,2,2
1163,9,6,3,2
1164,11,6,3,2
1165,1,7,2,2
1166,1,7,2,2
1167,3,5,3,2
1168,1,7,2,2
1169,29,1,3,1
1170,29,5,3,2
1171,3,1,3,1
1172,9,5,3,2
1173,9,1,3,1
1174,6,1,3,1
1175,11,5,3,2
1176,25,1,3,1
1177,11,5,3,2
1178,6,5,3,2
1179,3,5,3,2
1180,6,1,3,1
1181,3,5,3,2
1182,3,5,3,2
1183,6,1,3,1
1184,3,5,3,2
1185,3,1,3,1
1186,3,1,3,1
1187,6,5,3,2
1188,24,1,3,1
1189,1,7,2,2
1190,1,3,2,1
1191,1,7,2,2
1192,12,3,2,1
1193,1,3,2,1
1194,1,3,2,1
1195,14,7,2,2
1196,3,1,3,1
1197,29,1,3,1
1198,2,1,3,1
1199,11,6,3,2
1200,9,5,3,2
1201,1,3,2,1
1202,1,7,2,2
1203,1,7,2,2
1204,29,1,3,1
1205,3,1,3,1
1206,1,7,2,2
1207,1,7,2,2
1208,1,7,2,2
1209,1,7,2,2
1210,1,7,2,2
1211,1,3,2,1
1212,1,7,2,2
1213,1,7,2,2
1214,1,7,2,2
1215,1,3,2,1
1216,1,7,2,2
1217,1,3,2,1
1218,1,3,2,1
1219,1,3,2,1
1220,1,7,2,2
1221,3,7,2,2
1222,1,3,2,1
1223,3,7,2,2
1224,1,7,2,2
1225,29,5,3,2
1226,3,6,3,2
1227,1,7,2,2
1228,29,5,3,2
1229,3,1,3,1
1230,3,5,3,2
1231,3,5,3,2
1232,3,1,3,1
1233,3,5,3,2
1234,4,5,3,2
1235,4,1,3,1
1236,4,5,3,2
1237,3,1,3,1
1238,9,5,3,2
1239,6,1,3,1
1240,6,5,3,2
1241,3,5,3,2
1242,9,5,3,2
1243,3,2,3,1
1244,29,6,3,2
1245,28,1,3,1
1246,9,5,3,2
1247,5,1,3,1
1248,9,1,3,1
1249,29,1,3,1
1250,29,5,3,2
1251,5,5,3,2
1252,3,5,3,2
1253,3,5,3,2
1254,3,5,3,2
1255,3,5,3,2
1256,11,1,3,1
1257,6,1,3,1
1258,28,5,3,2
1259,29,5,3,2
1260,29,1,3,1
1261,12,5,3,2
1262,6,5,3,2
1263,29,5,3,2
1264,11,1,3,1
1265,3,1,3,1
1266,4,1,3,1
1267,4,1,3,1
1268,3,1,3,1
1269,1,7,2,2
1270,1,7,2,2
1271,3,5,3,2
1272,11,1,3,1
1273,11,1,3,1
1274,6,5,3,2
1275,3,1,3,1
1276,3,5,3,2
1277,3,5,3,2
1278,3,1,3,1
1279,7,5,3,2
1280,6,1,3,1
1281,11,5,3,2
1282,3,1,3,1
1283,6,5,3,2
1284,29,1,3,1
1285,29,5,3,2
1286,1,7,2,2
1287,1,3,2,1
1288,1,3,2,1
1289,1,3,2,1
1290,1,7,2,2
1291,1,3,2,1
1292,1,3,2,1
1293,1,7,2,2
1294,1,3,2,1
1295,1,7,2,2
1296,3,5,3,2
1297,1,7,2,2
1298,1,7,2,2
1299,1,7,2,2
1300,3,1,3,1
1301,29,1,3,1
1302,29,5,3,2
1303,11,1,3,1
1304,11,5,3,2
1305,3,5,3,2
1306,5,5,3,2
1307,9,1,3,1
1308,1,7,2,2
1309,3,1,3,1
1310,29,5,3,2
1311,9,1,3,1
1312,5,5,3,2
1313,1,7,2,2
1314,1,3,2,1
1315,-2,1,3,1
1316,11,1,3,1
1317,11,1,3,1
1318,-2,1,3,1
1319,-2,1,3,1
1320,3,1,3,1
1321,3,1,3,1
1322,29,5,3,2
1323,29,5,3,2
1324,3,5,3,2
1325,12,1,3,1
1326,12,5,3,2
1327,3,5,3,2
1328,6,5,3,2
1329,6,1,3,1
1330,3,1,3,1
1331,3,1,3,1
1332,3,1,3,1
1333,3,2,3,1
1334,9,5,3,2
1335,29,5,3,2
1336,29,5,3,2
1337,3,2,3,1
1338,9,1,3,1
1339,9,5,3,2
1340,3,1,3,1
1341,3,5,3,2
1342,29,1,3,1
1343,29,5,3,2
1344,9,5,3,2
1345,6,1,3,1
1346,3,1,3,1
1347,9,5,3,2
1348,6,5,3,2
1349,3,1,3,1
1350,3,1,3,1
1351,3,1,3,1
1352,29,5,3,2
1353,3,1,3,1
